date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:51	59515/59515	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jul%202023%2005:39:32%20GMT	https://marketifythemes.net/tailwind/elisc/index.html	E:/website/elisc/marketifythemes.net/tailwind/elisc/index.html	(from )
15:46:52	1144/1144	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jun%202021%2015:22:04%20GMT	https://marketifythemes.net/robots.txt		(from )
15:46:53	292776/292776	---M-Z	200	added ('OK')	text/css	etag:%22477a8-64a7a519-1570448e9daf71cf;gz%22	https://marketifythemes.net/tailwind/elisc/assets/css/plugins.css	E:/website/elisc/marketifythemes.net/tailwind/elisc/assets/css/plugins.css	(from https://marketifythemes.net/tailwind/elisc/index.html)
15:46:54	14010/14010	---M-Z	200	added ('OK')	text/css	etag:%2236ba-64a7a518-c931b0d9004d95f9;gz%22	https://marketifythemes.net/tailwind/elisc/assets/css/modalbox.css	E:/website/elisc/marketifythemes.net/tailwind/elisc/assets/css/modalbox.css	(from https://marketifythemes.net/tailwind/elisc/index.html)
15:46:54	22857/22857	---M-Z	200	added ('OK')	text/css	etag:%225949-64a7a518-40bc63294c909aa8;gz%22	https://marketifythemes.net/tailwind/elisc/assets/css/custom.css	E:/website/elisc/marketifythemes.net/tailwind/elisc/assets/css/custom.css	(from https://marketifythemes.net/tailwind/elisc/index.html)
15:46:54	58896/58896	---M-Z	200	added ('OK')	text/css	etag:%22e610-64a7a518-4a99a8315d2d7e44;gz%22	https://marketifythemes.net/tailwind/elisc/assets/css/main.css	E:/website/elisc/marketifythemes.net/tailwind/elisc/assets/css/main.css	(from https://marketifythemes.net/tailwind/elisc/index.html)
15:46:55	2306/2306	---M--	200	added ('OK')	image/png	etag:%22902-64a7a532-e8b683cabdbb700a;;;%22	https://marketifythemes.net/tailwind/elisc/assets/img/logo/logo.png	E:/website/elisc/marketifythemes.net/tailwind/elisc/assets/img/logo/logo.png	(from https://marketifythemes.net/tailwind/elisc/index.html)
15:46:55	12398/12398	---M--	200	added ('OK')	image/jpeg	etag:%22306e-64a7a531-46c29d953be724be;;;%22	https://marketifythemes.net/tailwind/elisc/assets/img/about/1.jpg	E:/website/elisc/marketifythemes.net/tailwind/elisc/assets/img/about/1.jpg	(from https://marketifythemes.net/tailwind/elisc/index.html)
15:46:56	1184/1184	---M-Z	200	added ('OK')	image/svg+xml	etag:%224a0-64a7a548-115ce040fbd51800;gz%22	https://marketifythemes.net/tailwind/elisc/assets/img/svg/social/facebook.svg	E:/website/elisc/marketifythemes.net/tailwind/elisc/assets/img/svg/social/facebook.svg	(from https://marketifythemes.net/tailwind/elisc/index.html)
15:46:56	1404/1404	---M-Z	200	added ('OK')	image/svg+xml	etag:%2257c-64a7a548-c5722a158477acf4;gz%22	https://marketifythemes.net/tailwind/elisc/assets/img/svg/social/twitter.svg	E:/website/elisc/marketifythemes.net/tailwind/elisc/assets/img/svg/social/twitter.svg	(from https://marketifythemes.net/tailwind/elisc/index.html)
